,Coeffs
0,0.04216717248544734
1,0.041253513925259895
2,0.09346124478919804
3,0.05529560536326373
4,0.09452687855034433
5,0.11854468003863344
6,0.12360604680047116
7,0.12844452348668445
8,0.19114974200443258
9,0.22915976885431882
10,0.21757416718367886
11,0.3034224291240448
12,0.2991353184818542
13,0.047191042331855504
14,0.08292357140734358
15,0.09544635274816524
16,0.06855738618079862
17,0.0802604772027463
18,0.20019177440542804
19,0.08079180883608691
20,0.13417468202486865
21,0.19137843938629814
22,0.2911399055126695
23,0.28736702154441784
24,0.30288510168520827
25,0.40301115557660316
26,0.0985995323310011
27,0.12908263270448098
28,0.043626297874912824
29,0.08295224498381708
30,0.07667868104312857
31,0.03829015396973227
32,0.14684660494694193
33,0.14854741639542013
34,0.1575223037307662
35,0.22879033422013278
36,0.18223684282085592
37,0.30916646453241264
38,0.42057338081345336
39,0.09002739648120424
40,0.11411904644536908
41,0.022458820792783846
42,0.07942115990243763
43,0.18173426970703666
44,0.14588475062889797
45,0.1342303346963804
46,0.17036856244422416
47,0.2373299523963579
48,0.21754494986128084
49,0.30173808285612486
50,0.3609659641873883
51,0.41592186076069887
52,0.5000618010722301
53,0.5412527834904561
54,0.5427108334698918
55,0.5224358756106202
