,Coeffs
0,-0.21324158903609627
1,0.37207812520912453
2,0.25045418765256494
3,0.07494780863770219
4,0.06858618989824036
5,0.2705001954364828
6,0.22145860799022585
7,0.10333661717592255
8,0.33541435441340284
9,0.22646486703175192
10,0.0321196349133871
11,0.565074436534874
12,0.5332500192635599
13,0.24697754323905793
14,0.25397539310785
15,0.36161075591873537
16,0.3859272830701198
17,0.11894416675805992
18,0.17023182692033628
19,0.27648867919888775
20,0.3135141181784706
21,0.21137026084134425
22,0.5184253480602784
23,0.3098372207482571
24,0.7376975126655646
25,0.6298781112236932
26,0.22195667706659597
27,0.12136567042377275
28,0.4590788116669814
29,0.17054006401244629
30,0.3455809005386883
31,0.488378366221525
32,0.329417792914521
33,0.25861226705089413
34,0.3293391986511593
35,0.35043861446089186
36,0.3148306024572948
37,0.6687553204387293
38,0.7759812009916557
39,0.08756014985207597
40,0.32954746009578817
41,0.34687272623553117
42,-0.11648672698973636
43,0.18508260829166676
44,0.4925895926572984
45,0.08594309839078652
46,0.5486913157683205
47,0.6391509959295384
48,0.30970628197266964
49,0.44035701926445786
50,0.3799076060511889
51,0.49560876902280726
52,0.8820027819498641
53,1.0425579023008718
54,0.7463926802961429
55,1.0165950308381755
