,Coeffs
0,32.69757907644847
1,22.644667044041007
2,17.9255254624735
3,112.01193218363453
4,14.526797644926077
5,-3.8293960312636885
6,-11.94085564716907
7,3.309957871544891
8,47.423620782183484
9,-38.39811272280381
10,-5.386383283472051
11,-2.3631511787709916
12,-1.1639356252256734
13,69.36421395039937
14,-71.80553839695311
15,2.8560901477573104
16,-12.45903306978309
17,5.310382539328414
18,-11.907291188964995
19,-29.287129582172117
20,-5.3689282581540825
21,1.523512809177137
22,3.1867275815213607
23,12.91399630495542
24,23.803978367979052
25,-10.022801611575256
26,-3.6323213929875307
27,-7.535893575241967
28,17.560535932525955
29,15.820032850758663
30,-12.432583277480221
31,-1.6348208121035093
32,8.485743495798635
33,-46.42288320713998
34,14.797841306895695
35,-2.2303578524643077
36,-18.400792618658155
37,6.690222815687987
38,-69.34110044515252
39,31.48990961874296
40,-12.716809943336843
41,0.34149069885474953
42,-11.965938660784948
43,27.136574778443755
44,44.32276889604763
45,-13.736447963743737
46,8.033430946495853
47,-11.610773789304528
48,50.12543653426296
49,19.78001592024009
50,-2.7642991857088166
51,12.52110372905001
52,-14.878695306468224
53,77.76804193077174
54,50.23146495216648
55,-13.647713781629749
56,16.753175208121476
57,-12.06077353187661
58,107.60946437947534
59,5.31563873067989
60,-6.619700022522164
61,6.723871347732211
62,-15.072006517506173
63,105.85359936188428
64,59.46928408279715
65,-13.676586635263579
66,22.714038712671808
67,-28.846866436171577
68,129.55774506224398
69,7.645155148836438
70,0.7423205160235871
71,-2.55915651583772
72,0.12118779174000599
73,38.49045231805536
74,-11.663796493055148
75,-5.400421517345955
76,-3.6953961598252976
77,3.6895488143632935
78,32.66311857439908
79,-14.829921714062857
80,-11.990953598773135
81,-7.233234321824838
82,3.257635031747427
83,-6.069095686801658
84,64.57726501990732
85,-0.3289987137433108
86,2.5595692713129443
87,-4.960321386132223
88,4.8539401116991545
89,-19.7308110272889
90,2.8440490401188403
91,2.7521541447383573
92,1.2699206911362175
93,-6.096133664392697
94,18.799460267337416
95,-4.220853441734822
96,-9.723999281677271
97,5.178444279715949
98,30.748923456385647
99,51.75212015038656
100,-2.2225457124940764
101,-4.138674296472187
102,9.111640976733915
103,-50.90157136895723
104,4.266518468644694
105,-10.283099532668539
106,-1.0518801454027784
107,-11.725774619492125
108,28.178773959668547
109,2.4218680713428764
110,-17.904280685012527
111,-2.3544248208389487
112,-5.27513393634698
113,-12.581528127041388
114,8.026833724846666
115,-6.20016187572616
116,2.5768948031665264
117,-8.2481171239622
118,47.893834767657474
119,127.69433477889417
120,-6.786151236657923
121,11.58823762291616
122,-3.911420834412748
123,36.55005597305759
124,4.200639599493198
125,-10.195841099091302
126,16.838138537939713
127,-10.684945422235376
128,80.30839832876826
129,128.07929161911247
130,-10.778108944139552
131,37.72489175701481
132,-25.339908088523124
133,95.49595791432166
134,42.386186773073646
135,1.4964059714879143
136,-10.643998365490663
137,4.084323635714003
138,20.574010336361717
139,54.49218003678736
140,-10.148966668044496
141,-4.569831385200798
142,-2.816362737269122
143,28.060380019651188
144,-98.00597262123492
145,-9.15035830104744
146,-5.235680836594668
147,-9.10270068406998
148,58.454968721447806
149,-18.29209136826817
150,-5.226339356539444
151,-10.15904018312922
152,14.542549708156468
153,-23.351959021940402
154,1.081179927643803
155,-2.3414834680851033
156,-14.289401408312433
157,-0.5267865607267492
158,-6.308955330011749
159,-30.018049067134598
160,-5.562804273205125
161,-7.2282417208684935
162,-0.40361861446323977
163,81.09616639281579
164,-75.4948585270825
165,-6.361118677951476
166,-6.6851820819352925
167,-6.45750958155636
168,15.53876912172042
169,-11.565100464818718
170,-8.101068510478973
171,5.785156846730607
172,-7.793503303839857
173,76.27535284259986
174,-41.53309416195737
175,-13.838130811717773
176,5.16787449662266
177,-17.48287513967061
178,78.28983282347394
179,126.60680028761887
180,-14.01830170629187
181,22.1564089226838
182,-22.19037184696199
183,79.1209783562483
184,-25.300277257662348
185,-20.84421453408274
186,3.449687686313327
187,-20.547134786361124
188,102.42844568729633
189,-25.0898908133093
190,-15.226505768652475
191,8.650575432488203
192,-25.511686746806777
193,87.73053070822374
194,2.116602602358994
195,-21.760105781366917
196,11.827535375288207
197,-26.65644778538689
198,138.98011135576425
199,-8.395150881221884
200,-2.0344480938490017
201,-1.9757997938194882
202,4.2583771965405495
203,38.89153644686283
204,-30.69713215824742
205,-6.039536674746612
206,1.0314242863442977
207,-2.613518669615308
208,14.58559672814273
209,-21.592235754539683
210,-8.301108418043087
211,-8.175168430210729
212,-3.1595298655282478
213,28.189491578953493
214,47.142207532996274
215,-4.777268420457817
216,-14.871570017170992
217,8.094374130627603
218,-24.741556663636697
219,3.861381819755617
220,-3.3280769782477475
221,-4.203952809500059
222,-3.43600942847128
223,37.04951075647972
224,51.67396178600282
225,-5.797944499030939
226,-14.078351280588636
227,6.5247689892609575
228,39.062716001156765
229,69.79875049310267
230,-3.702397015868844
231,-5.524463974407171
232,-0.19040226715149033
233,27.974326262118428
234,72.58701375379941
235,-1.9016484999755163
236,-6.140649541199878
237,7.485587177032131
238,7.563114966713948
239,-22.77353120857214
240,-11.098977559401431
241,13.326208174283437
242,-14.179083281967504
243,97.43283226151259
244,7.439811028924668
245,-15.628916652294622
246,8.925429786460287
247,-8.184389544978822
248,72.29803255075701
249,81.9843052667731
250,-15.567268237921661
251,22.185021135719314
252,-22.38848079773802
253,106.17756854130657
254,21.499678485007962
255,-7.653664091877083
256,25.15567704214528
257,-19.706727952703215
258,96.62855237761472
259,57.205576114158184
260,-18.191487857611847
261,23.5232959264295
262,-20.90951048471876
263,109.87958697455635
264,-8.510713269399714
265,-4.447367970613504
266,4.1158581709151925
267,3.308806705768365
268,-1.7006872124898136
269,3.2235699262684134
270,-4.323480777097896
271,3.342092756128676
272,9.26681210472277
273,15.976811690194664
274,20.341163330117148
275,7.850771129682126
276,19.40311546927731
277,0.8201746670870314
278,-2.042958715036398
279,-9.826888015391496
280,7.733598375170464
