,Coeffs
0,0.12365916382395091
1,0.13210050116327687
2,0.15827745615280267
3,0.17328654305198654
4,0.21520108385824233
5,0.19751164786402886
6,0.2087035545077758
7,0.27903170618330553
8,0.2717655386583876
9,0.33198408975981414
10,0.36338139675707215
11,0.4553465926708561
12,0.5920301491639808
13,0.10800704114363985
14,0.0972689230444267
15,0.14286753716311912
16,0.1766504066237247
17,0.1637403911394229
18,0.17409750679585428
19,0.21616734186897205
20,0.23460240931782864
21,0.29267421422543044
22,0.3330703261720449
23,0.35781634709791144
24,0.4705931885500967
25,0.5645995468499755
26,0.12111290885139829
27,0.1509103832174615
28,0.11393901262931509
29,0.14034374918149434
30,0.18036114790508745
31,0.17439450586559163
32,0.19540497511636426
33,0.23158927827387293
34,0.28678359321120306
35,0.34048433479471574
36,0.34971113142284127
37,0.46056962260296536
38,0.5573787925842232
39,0.11776477710964263
40,0.14070695561409058
41,0.15293912405558166
42,0.1674460906998587
43,0.1635720335483006
44,0.19309431459896942
45,0.22094286163537913
46,0.2559063931951759
47,0.3014036454165734
48,0.3540212691578279
49,0.3966978723658251
50,0.45744708989705557
51,0.5756404916482347
52,0.6611300768663613
53,0.6366771545672846
54,0.6583964920984903
55,0.6542253783220987
